cat,group_label,coef
customer_C1246760376,1,0.000492253
customer_C1248026439,1,0.000101589
customer_C1248053373,1,0.00020543
customer_C1249070059,1,6.20E-05
customer_C1249352100,1,0.000273217
customer_C1249817283,1,9.11E-05
customer_C125143024,1,0.000170161
customer_C1251749294,1,0.000326395
customer_C1253245889,1,0.000410931
customer_C1253760419,1,0.000393806
customer_C1254064510,1,0.000362728
customer_C1254696728,1,0.000228436
customer_C125481968,1,0.000142362
customer_C1255149927,1,0.000245397
customer_C1255221015,1,0.000599673
customer_C1255231772,1,0.000393514
customer_C1255236689,1,0.00032573
customer_C1255643141,1,0.000212494
customer_C1256072323,1,-0.000165203
customer_C1256073744,1,0.000161665
customer_C1256908044,1,0.000477271
customer_C1257820473,1,0.000345889
customer_C1258211852,1,0.000187136
customer_C1258454385,1,0.000102015
customer_C1258725927,1,0.000277194
customer_C1258953485,1,0.000430091
customer_C1259046770,1,0.000266448
customer_C1259389151,1,0.000698196
customer_C1259760240,1,0.000358238
customer_C1261640227,1,9.87E-05
customer_C1262879702,1,0.000158784
customer_C1263107170,1,0.000228187
customer_C1263267362,1,0.000399236
customer_C1263461120,1,0.000108253
customer_C1264224372,1,0.000216631
customer_C1264836741,1,0.000384554
customer_C126488680,1,0.000137825
customer_C126603077,1,0.000312374
customer_C12662072,1,0.000297246
customer_C1266329800,1,0.000398011
customer_C126638730,1,-0.007209556
customer_C1267365709,1,0.000413743
customer_C1267410030,1,0.000516626
customer_C1267444276,1,0.000277495
customer_C1267749701,1,0.000307818
customer_C1267913176,1,0.000186661
customer_C1268275182,1,0.000286542
customer_C1269217373,1,0.000930469
customer_C1269288419,1,-0.000261028
customer_C1269635185,1,0.000160084
customer_C1271484467,1,0.00089915
customer_C1271627744,1,-0.00177726
customer_C1272188168,1,0.000233584
customer_C1272326382,1,0.000319705
customer_C1273015960,1,0.00042335
customer_C1273110804,1,0.000366474
customer_C1273564839,1,0.000322894
customer_C1273692645,1,-0.002012939
customer_C1273885837,1,0.000279522
customer_C1274818444,1,0.000330493
customer_C1275053057,1,0.00042432
customer_C1275518867,1,-0.01749496
customer_C1275741147,1,0.000209919
customer_C1276892406,1,-0.000131809
customer_C1278181986,1,0.000366974
customer_C1279143519,1,0.000316896
customer_C1279668658,1,0.000109753
customer_C1279785305,1,-0.001535741
customer_C128008012,1,-0.000493466
customer_C1280960686,1,0.000272634
customer_C1281345721,1,-0.000649863
customer_C1282114843,1,0.000349969
customer_C1282333137,1,-0.000724091
customer_C1282628311,1,0.000518735
customer_C1283110336,1,-0.001646725
customer_C1283534588,1,0.000175017
customer_C1284214182,1,0.001118353
customer_C1284327050,1,-0.000339848
customer_C1284515419,1,0.000187936
customer_C1285086629,1,0.000764767
customer_C1287167517,1,0.000309567
customer_C128812892,1,0.000444166
customer_C1288983259,1,-0.001965503
customer_C1289081546,1,0.000192577
customer_C1289219178,1,0.000263363
customer_C1289834917,1,0.003576531
customer_C1289997724,1,0.000456692
customer_C1290093162,1,0.000242819
customer_C1290724680,1,9.75E-05
customer_C1292140369,1,0.000291753
customer_C1292770722,1,0.000248429
customer_C1293338142,1,0.000298489
customer_C1293338653,1,0.000361526
customer_C1293579037,1,-0.000688104
customer_C129386345,1,0.000211033
customer_C1294166760,1,0.000702573
customer_C1295444668,1,0.000202902
customer_C129566217,1,0.00014342
customer_C1295945354,1,0.000264862
customer_C1296664552,1,0.000208803
customer_C1297100897,1,0.000353627
customer_C1297329735,1,0.000555496
customer_C1297358265,1,0.000133108
customer_C1297995542,1,0.000249014
customer_C1298891864,1,0.000649721
customer_C1299279378,1,-0.00047236
customer_C1299368401,1,0.000335657
customer_C1299474405,1,0.000225566
customer_C1299496226,1,0.000286036
customer_C1299745394,1,-0.001804741
customer_C130295904,1,0.000148915
